id,type
001,2
002,0
003,1
004,1
005,0
006,1
007,0
008,1
009,1
010,1
011,1
012,0
013,1
014,1
015,1
016,1
017,1
018,1
019,1
020,1
021,1
022,1
023,1
024,1
025,1
026,1
027,1
028,1
029,1
030,1
031,1
032,2
033,2
034,1
035,1
036,1
037,1
038,1
039,1
040,1
041,1
042,1
043,1
044,1
045,1
046,1
047,1
048,1
049,1
050,2
051,2
052,2
053,2
054,2
055,2
056,1
057,2
058,2
059,2
060,0
061,2
062,2
063,0
064,2
065,2
066,0
067,2
068,2
069,0
070,3
071,2
072,2
073,2
074,2
075,0
076,0
077,2
078,0
079,2
080,0
081,3
082,2
083,0
084,2
085,0
086,0
087,0
088,0
089,0
090,0
091,0
092,2
093,2
094,2
095,2
096,2
097,2
098,0
099,0
100,0
101,3
102,3
103,3
104,3
105,3
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,2
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,3
133,3
134,3
135,3
136,3
137,3
138,1
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,3
150,3
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,2
174,0
175,0
176,0
177,0
178,0
179,0
180,1
181,0
182,0
183,2
184,2
185,2
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
